Mexico; Montana ;958; $5.00 ; $300.00 ;01.08.2014
Mexico; Paseo ;883; $10.00 ; $7.00 ;01.08.2014
United States of America; Velo ;2821; $120.00 ; $125.00 ;01.08.2014
United States of America; Amarilla ;2141; $260.00 ; $12.00 ;01.08.2014
Canada; Montana ;1830; $5.00 ; $7.00 ;01.08.2014
Canada; Velo ;923; $120.00 ; $125.00 ;01.08.2014
Canada; VTT ;1874; $250.00 ; $300.00 ;01.08.2014
Mexico; VTT ;1642; $250.00 ; $350.00 ;01.08.2014
Germany; Montana ;1859; $5.00 ; $300.00 ;01.08.2014
Mexico; Amarilla ;1123; $260.00 ; $12.00 ;01.08.2014
United States of America; Velo ;2832; $120.00 ; $20.00 ;01.08.2014
France; Velo ;1579; $120.00 ; $20.00 ;01.08.2014
Canada; Amarilla ;552; $260.00 ; $350.00 ;01.08.2014
United States of America; Paseo ;2198; $10.00 ; $15.00 ;01.08.2014
Germany; Paseo ;1743; $10.00 ; $15.00 ;01.08.2014
Germany; Velo ;1001; $120.00 ; $20.00 ;01.08.2014
Canada; Carretera ;1884; $3.00 ; $12.00 ;01.08.2014
France; Paseo ;2101; $10.00 ; $15.00 ;01.08.2014
Mexico; Velo ;609; $120.00 ; $20.00 ;01.08.2014
Mexico; Carretera ;1540; $3.00 ; $125.00 ;01.08.2014
France; Montana ;1562; $5.00 ; $300.00 ;01.08.2014
United States of America; Paseo ;678; $10.00 ; $7.00 ;01.08.2014
Germany; Paseo ;1598; $10.00 ; $7.00 ;01.08.2014
France; VTT ;381; $250.00 ; $350.00 ;01.08.2014
Germany; VTT ;422; $250.00 ; $350.00 ;01.08.2014
United States of America; VTT ;2807; $250.00 ; $350.00 ;01.08.2014
Germany; Amarilla ;2574; $260.00 ; $12.00 ;01.08.2014
Canada; Paseo ;2394; $10.00 ; $20.00 ;01.08.2014
Mexico; Paseo ;1984; $10.00 ; $15.00 ;01.08.2014
France; Paseo ;2696; $10.00 ; $7.00 ;01.08.2014
United States of America; VTT ;2541; $250.00 ; $300.00 ;01.08.2014
France; Amarilla ;2475; $260.00 ; $12.00 ;01.08.2014
France; Carretera ;1174; $3.00 ; $125.00 ;01.08.2014
Germany; Carretera ;2767; $3.00 ; $125.00 ;01.08.2014
Canada; Paseo ;2559; $10.00 ; $15.00 ;01.08.2014
