Germany; Montana ;2146; $5.00 ; $7.00 ;01.09.2014
Mexico; Paseo ;2472; $10.00 ; $15.00 ;01.09.2014
France; VTT ;2151; $250.00 ; $300.00 ;01.09.2014
Canada; Carretera ;1445; $3.00 ; $12.00 ;01.09.2014
France; Carretera ;2671; $3.00 ; $12.00 ;01.09.2014
Germany; Paseo ;747; $10.00 ; $15.00 ;01.09.2014
Germany; VTT ;986; $250.00 ; $300.00 ;01.09.2014
United States of America; Carretera ;1947; $3.00 ; $12.00 ;01.09.2014
France; Montana ;544; $5.00 ; $7.00 ;01.09.2014
Canada; Paseo ;218; $10.00 ; $15.00 ;01.09.2014
Canada; Paseo ;2074; $10.00 ; $20.00 ;01.09.2014
United States of America; Paseo ;1056; $10.00 ; $20.00 ;01.09.2014
Germany; Amarilla ;1907; $260.00 ; $350.00 ;01.09.2014
France; Paseo ;2620; $10.00 ; $15.00 ;01.09.2014
Mexico; Carretera ;562; $3.00 ; $12.00 ;01.09.2014
Mexico; Amarilla ;1679; $260.00 ; $350.00 ;01.09.2014
France; Paseo ;1535; $10.00 ; $20.00 ;01.09.2014
Germany; Velo ;2087; $120.00 ; $125.00 ;01.09.2014
France; Amarilla ;2876; $260.00 ; $350.00 ;01.09.2014
Germany; Paseo ;1934; $10.00 ; $20.00 ;01.09.2014
Mexico; Paseo ;2993; $10.00 ; $20.00 ;01.09.2014
Canada; VTT ;2134; $250.00 ; $300.00 ;01.09.2014
Canada; Velo ;567; $120.00 ; $125.00 ;01.09.2014
Mexico; Velo ;2110; $120.00 ; $125.00 ;01.09.2014
United States of America; VTT ;1867; $250.00 ; $300.00 ;01.09.2014
United States of America; Amarilla ;2071; $260.00 ; $350.00 ;01.09.2014
Germany; Carretera ;1580; $3.00 ; $12.00 ;01.09.2014
United States of America; Montana ;2328; $5.00 ; $7.00 ;01.09.2014
United States of America; Velo ;1596; $120.00 ; $125.00 ;01.09.2014
Mexico; VTT ;432; $250.00 ; $300.00 ;01.09.2014
Canada; Amarilla ;707; $260.00 ; $350.00 ;01.09.2014
Mexico; Montana ;2420; $5.00 ; $7.00 ;01.09.2014
United States of America; Paseo ;1767; $10.00 ; $15.00 ;01.09.2014
Canada; Montana ;388; $5.00 ; $7.00 ;01.09.2014
France; Velo ;663; $120.00 ; $125.00 ;01.09.2014
