United States of America; Paseo ;1143; $10.00 ; $7.00 ;01.10.2014
United States of America; Amarilla ;1143; $260.00 ; $7.00 ;01.10.2014
Mexico; Carretera ;1397; $3.00 ; $350.00 ;01.10.2014
Mexico; VTT ;1397; $250.00 ; $350.00 ;01.10.2014
Canada; Carretera ;1295; $3.00 ; $12.00 ;01.10.2014
United States of America; Montana ;1566; $5.00 ; $20.00 ;01.10.2014
Canada; Paseo ;1295; $10.00 ; $12.00 ;01.10.2014
United States of America; Velo ;1566; $120.00 ; $20.00 ;01.10.2014
Germany; Velo ;2877; $120.00 ; $350.00 ;01.10.2014
Germany; VTT ;2877; $250.00 ; $350.00 ;01.10.2014
Canada; Paseo ;2009; $10.00 ; $125.00 ;01.10.2014
Canada; Velo ;2009; $120.00 ; $125.00 ;01.10.2014
Mexico; Montana ;2031; $5.00 ; $15.00 ;01.10.2014
Mexico; Paseo ;2031; $10.00 ; $15.00 ;01.10.2014
Germany; Carretera ;2021; $3.00 ; $300.00 ;01.10.2014
Germany; Montana ;2021; $5.00 ; $300.00 ;01.10.2014
France; Velo ;2177; $120.00 ; $350.00 ;01.10.2014
France; VTT ;2177; $250.00 ; $350.00 ;01.10.2014
Mexico; Paseo ;2689; $10.00 ; $7.00 ;01.10.2014
Mexico; VTT ;2689; $250.00 ; $7.00 ;01.10.2014
United States of America; Paseo ;861; $10.00 ; $125.00 ;01.10.2014
United States of America; Velo ;861; $120.00 ; $125.00 ;01.10.2014
United States of America; Paseo ;1153; $10.00 ; $15.00 ;01.10.2014
United States of America; VTT ;1153; $250.00 ; $15.00 ;01.10.2014
France; Carretera ;2181; $3.00 ; $300.00 ;01.10.2014
France; Montana ;1976; $5.00 ; $20.00 ;01.10.2014
France; Montana ;2181; $5.00 ; $300.00 ;01.10.2014
France; Velo ;1976; $120.00 ; $20.00 ;01.10.2014
France; Paseo ;1227; $10.00 ; $15.00 ;01.10.2014
Canada; Velo ;1269; $120.00 ; $350.00 ;01.10.2014
France; VTT ;1227; $250.00 ; $15.00 ;01.10.2014
Canada; Amarilla ;1269; $260.00 ; $350.00 ;01.10.2014
Germany; Paseo ;360; $10.00 ; $7.00 ;01.10.2014
Germany; VTT ;360; $250.00 ; $7.00 ;01.10.2014
Germany; Paseo ;241; $10.00 ; $20.00 ;01.10.2014
Germany; Velo ;241; $120.00 ; $20.00 ;01.10.2014
Germany; Velo ;472; $120.00 ; $12.00 ;01.10.2014
Germany; Amarilla ;472; $260.00 ; $12.00 ;01.10.2014
France; Carretera ;2441; $3.00 ; $125.00 ;01.10.2014
France; Paseo ;2441; $10.00 ; $125.00 ;01.10.2014
Mexico; Carretera ;2156; $3.00 ; $125.00 ;01.10.2014
Canada; Montana ;2734; $5.00 ; $7.00 ;01.10.2014
Mexico; Paseo ;2156; $10.00 ; $125.00 ;01.10.2014
Mexico; Paseo ;905; $10.00 ; $20.00 ;01.10.2014
United States of America; Velo ;986; $120.00 ; $350.00 ;01.10.2014
Mexico; Velo ;905; $120.00 ; $20.00 ;01.10.2014
United States of America; VTT ;986; $250.00 ; $350.00 ;01.10.2014
Canada; Amarilla ;2734; $260.00 ; $7.00 ;01.10.2014
Canada; Montana ;1249; $5.00 ; $20.00 ;01.10.2014
Canada; Paseo ;1565; $10.00 ; $15.00 ;01.10.2014
Canada; Paseo ;1249; $10.00 ; $20.00 ;01.10.2014
Mexico; Velo ;410; $120.00 ; $12.00 ;01.10.2014
Canada; VTT ;1565; $250.00 ; $15.00 ;01.10.2014
Mexico; Amarilla ;410; $260.00 ; $12.00 ;01.10.2014
France; Paseo ;1393; $10.00 ; $12.00 ;01.10.2014
France; Amarilla ;1393; $260.00 ; $12.00 ;01.10.2014
Canada; Carretera ;1496; $3.00 ; $300.00 ;01.10.2014
United States of America; Carretera ;1010; $3.00 ; $300.00 ;01.10.2014
United States of America; Paseo ;2914; $10.00 ; $12.00 ;01.10.2014
France; Paseo ;1731; $10.00 ; $7.00 ;01.10.2014
Canada; VTT ;1496; $250.00 ; $300.00 ;01.10.2014
United States of America; VTT ;1010; $250.00 ; $300.00 ;01.10.2014
United States of America; Amarilla ;2914; $260.00 ; $12.00 ;01.10.2014
France; Amarilla ;1731; $260.00 ; $7.00 ;01.10.2014
Germany; Carretera ;1085; $3.00 ; $125.00 ;01.10.2014
Mexico; Montana ;546; $5.00 ; $300.00 ;01.10.2014
Germany; Paseo ;1085; $10.00 ; $125.00 ;01.10.2014
Germany; Paseo ;1175; $10.00 ; $15.00 ;01.10.2014
Germany; VTT ;1175; $250.00 ; $15.00 ;01.10.2014
Mexico; Amarilla ;546; $260.00 ; $300.00 ;01.10.2014
