France; Carretera ;2178; $3.00 ; $15.00 ;01.06.2014
Germany; Carretera ;888; $3.00 ; $15.00 ;01.06.2014
Mexico; Carretera ;2470; $3.00 ; $15.00 ;01.06.2014
Canada; Montana ;2518; $5.00 ; $12.00 ;01.06.2014
France; Montana ;1899; $5.00 ; $20.00 ;01.06.2014
Germany; Montana ;1545; $5.00 ; $12.00 ;01.06.2014
Mexico; Montana ;2470; $5.00 ; $15.00 ;01.06.2014
Canada; Paseo ;2518; $10.00 ; $12.00 ;01.06.2014
Germany; Paseo ;1006; $10.00 ; $350.00 ;01.06.2014
Germany; Velo ;1006; $120.00 ; $350.00 ;01.06.2014
Germany; Velo ;1545; $120.00 ; $12.00 ;01.06.2014
France; VTT ;2178; $250.00 ; $15.00 ;01.06.2014
Germany; VTT ;888; $250.00 ; $15.00 ;01.06.2014
France; Amarilla ;1899; $260.00 ; $20.00 ;01.06.2014
United States of America; Paseo ;727; $10.00 ; $125.00 ;01.06.2014
France; Paseo ;787; $10.00 ; $125.00 ;01.06.2014
United States of America; VTT ;727; $250.00 ; $125.00 ;01.06.2014
France; VTT ;787; $250.00 ; $125.00 ;01.06.2014
United States of America; Montana ;1142; $5.00 ; $12.00 ;01.06.2014
United States of America; Paseo ;1142; $10.00 ; $12.00 ;01.06.2014
Mexico; Paseo ;662; $10.00 ; $125.00 ;01.06.2014
Mexico; VTT ;662; $250.00 ; $125.00 ;01.06.2014
Germany; Carretera ;689; $3.00 ; $300.00 ;01.06.2014
France; Montana ;1901; $5.00 ; $12.00 ;01.06.2014
France; Paseo ;1901; $10.00 ; $12.00 ;01.06.2014
Germany; Paseo ;689; $10.00 ; $300.00 ;01.06.2014
Germany; Paseo ;1570; $10.00 ; $125.00 ;01.06.2014
Germany; VTT ;1570; $250.00 ; $125.00 ;01.06.2014
United States of America; Carretera ;991; $3.00 ; $300.00 ;01.06.2014
United States of America; Paseo ;991; $10.00 ; $300.00 ;01.06.2014
United States of America; Paseo ;602; $10.00 ; $350.00 ;01.06.2014
United States of America; Velo ;602; $120.00 ; $350.00 ;01.06.2014
Canada; Carretera ;2844; $3.00 ; $15.00 ;01.06.2014
France; Paseo ;1496; $10.00 ; $350.00 ;01.06.2014
France; Velo ;1496; $120.00 ; $350.00 ;01.06.2014
Mexico; Velo ;1498; $120.00 ; $7.00 ;01.06.2014
Canada; VTT ;2844; $250.00 ; $15.00 ;01.06.2014
Mexico; VTT ;1498; $250.00 ; $7.00 ;01.06.2014
Canada; Velo ;1135; $120.00 ; $7.00 ;01.06.2014
Canada; Amarilla ;1135; $260.00 ; $7.00 ;01.06.2014
France; Carretera ;448; $3.00 ; $300.00 ;01.06.2014
France; Paseo ;448; $10.00 ; $300.00 ;01.06.2014
United States of America; Montana ;1282; $5.00 ; $20.00 ;01.06.2014
United States of America; Amarilla ;1282; $260.00 ; $20.00 ;01.06.2014
Canada; Montana ;708; $5.00 ; $20.00 ;01.06.2014
Germany; Paseo ;1366; $10.00 ; $20.00 ;01.06.2014
Mexico; Paseo ;2460; $10.00 ; $300.00 ;01.06.2014
United States of America; Velo ;2907; $120.00 ; $7.00 ;01.06.2014
Germany; Velo ;2338; $120.00 ; $7.00 ;01.06.2014
Germany; VTT ;2338; $250.00 ; $7.00 ;01.06.2014
Canada; Amarilla ;708; $260.00 ; $20.00 ;01.06.2014
United States of America; Amarilla ;2907; $260.00 ; $7.00 ;01.06.2014
Germany; Amarilla ;1366; $260.00 ; $20.00 ;01.06.2014
Mexico; Amarilla ;2460; $260.00 ; $300.00 ;01.06.2014
Canada; Carretera ;1094; $3.00 ; $300.00 ;01.06.2014
Canada; Paseo ;1094; $10.00 ; $300.00 ;01.06.2014
Mexico; Paseo ;1038; $10.00 ; $20.00 ;01.06.2014
Mexico; Amarilla ;1038; $260.00 ; $20.00 ;01.06.2014
Mexico; Carretera ;886; $3.00 ; $350.00 ;01.06.2014
Mexico; Paseo ;886; $10.00 ; $350.00 ;01.06.2014
United States of America; Carretera ;2567; $3.00 ; $15.00 ;01.06.2014
United States of America; VTT ;2567; $250.00 ; $15.00 ;01.06.2014
Mexico; Montana ;604; $5.00 ; $12.00 ;01.06.2014
Canada; Paseo ;2632; $10.00 ; $350.00 ;01.06.2014
Canada; Paseo ;1583; $10.00 ; $125.00 ;01.06.2014
Canada; Velo ;2632; $120.00 ; $350.00 ;01.06.2014
France; Velo ;1190; $120.00 ; $7.00 ;01.06.2014
Mexico; Velo ;604; $120.00 ; $12.00 ;01.06.2014
Canada; VTT ;1583; $250.00 ; $125.00 ;01.06.2014
France; Amarilla ;1190; $260.00 ; $7.00 ;01.06.2014
